OBJECTID,Loc_name,Status,Score,Match_type,X,Y,Match_addr,DISP_LON,DISP_LAT,ARC_Addres,ARC_City,ARC_State,ARC_ZIP,DCODE,DIVISION,RCODE,REGION,REGION_TYP,ECODE,CHAPTER,ADDRESS,CITY,STATE,ZIP
90,Address_Points,M,100,A,-90.086821,29.965071,"2640 CANAL ST, NEW ORLEANS, LA, 70119",-90.08711,29.96466,2640 Canal Street,New Orleans,LA,70119,D25,SEC,18R08,Louisiana Region,RH,18206,American Red Cross of Southeast Louisiana,2640 Canal Street,New Orleans,LA,70119
91,Address_Points,M,100,A,-69.956819,43.935076,"16 COMMUNITY WAY, TOPSHAM, ME, 04086",-69.9561,43.93512,16 Community Way,Topsham,ME,04086,D27,Northeast,19R04,Maine Region,C,19010,American Red Cross of Central and Mid Coast Maine,16 Community Way,Topsham,ME,04086
92,Street_Address,M,100,A,-68.768432,44.800657,"145 EXCHANGE ST, BANGOR, ME, 04401", , ,145 Exchange St.,Bangor,ME,04401,D27,Northeast,19R04,Maine Region,C,19096,American Red Cross of Northern and Eastern Maine,145 Exchange St.,Bangor,ME,04401
93,Street_Address,M,100,A,-70.338407,43.650717,"2401 CONGRESS ST, PORTLAND, ME, 04102", , ,2401 Congress St.,Portland,ME,04102,D27,Northeast,19R04,Maine Region,RH,19104,American Red Cross of Southern Maine,2401 Congress St.,Portland,ME,04102
94,Address_Points,T,100,A,-76.711087,39.345863,"4800 MOUNT HOPE DR, BALTIMORE, MD, 21215",-76.71011,39.34588,4800 Mount Hope Drive,Baltimore,MD,21215,D26,Mid-Atlantic,20R04,Greater Chesapeake Region,RH,20012,American Red Cross serving Central Maryland,4800 Mount Hope Drive,Baltimore,MD,21215
95,Address_Points,M,84,A,-76.635652,38.289537,"41655 COURTHOUSE DR, LEONARDTOWN, MD, 20650",-76.63578,38.28916,41655 Courthouse Dr.,Leonardtown,MD,20646,D26,Mid-Atlantic,20R04,Greater Chesapeake Region,C,20032,American Red Cross serving South Maryland,41655 Courthouse Dr.,Leonardtown,MD,20646
96,Address_Points,M,100,A,-77.348347,39.482839,"2 E FREDERICK ST, WALKERSVILLE, MD, 21793",-77.34809,39.48226,2 E Frederick St.,Walkersville,MD,21793,D26,Mid-Atlantic,20R04,Greater Chesapeake Region,C,20044,American Red Cross serving West Maryland,2 E Frederick St.,Walkersville,MD,21793
97,Address_Points,T,100,A,-77.044691,38.994768,"2020 EAST WEST HWY, SILVER SPRING, MD, 20910",-77.04476,38.99445,2020 East West Hwy.,Silver Spring,MD,20910,D26,Mid-Atlantic,09R04,National Capital Area Region,C,20060,American Red Cross serving Montgomery and Prince George's Counties,2020 East West Hwy.,Silver Spring,MD,20910
98,Address_Points,M,100,A,-70.284847,41.650511,"286 SOUTH ST, HYANNIS, MA, 02601",-70.28494,41.65068,286 South St.,Hyannis,MA,02601,D27,Northeast,21R04,Massachusetts Region,C,21064,American Red Cross of Cape Islands and Southeast MA,286 South St.,Hyannis,MA,02601
99,Street_Address,M,71,A,-71.7703,42.31461,"198 CENTURY DR, WORCESTER, MA, 01606", , ,2000 Century Dr.,Worcester,MA,01606,D27,Northeast,21R04,Massachusetts Region,C,21066,American Red Cross of Central MA,2000 Century Dr.,Worcester,MA,01606
100,Address_Points,M,100,A,-70.931936,42.527439,"85 LOWELL ST, PEABODY, MA, 01960",-70.93152,42.52751,85 Lowell Street,Peabody,MA,01960,D27,Northeast,21R04,Massachusetts Region,C,21115,American Red Cross of Northeast MA,85 Lowell Street,Peabody,MA,01960
101,Address_Points,M,100,A,-72.534222,42.143357,"506 COTTAGE ST, SPRINGFIELD, MA, 01104",-72.53434,42.14413,506 Cottage St.,Springfield,MA,01104,D27,Northeast,21R04,Massachusetts Region,C,21254,American Red Cross of Western MA,506 Cottage St.,Springfield,MA,01104
102,Address_Points,M,79,A,-71.082366,42.362126,"137 MAIN ST, CAMBRIDGE, MA, 02142",-71.08234,42.36235,139 Main Street,Cambridge,MA,02142,D27,Northeast,21R04,Massachusetts Region,RH,21501,American Red Cross of Massachusetts Bay,139 Main Street,Cambridge,MA,02142
103,Address_Points,M,100,A,-83.686877,43.00587,"1401 S GRAND TRAVERSE ST, FLINT, MI, 48503",-83.6861,43.00612,1401 S. Grand Traverse St,Flint,MI,48503,D24,Crossroads,22R08,Michigan Region,C,22108,American Red Cross of East Central Bay Michigan,1401 S. Grand Traverse St,Flint,MI,48503
104,Address_Points,T,77,A,-85.660987,42.26928,"5640 VENTURE CT, KALAMAZOO, MI, 49009",-85.66008,42.2694,5460 Venture Ct,Kalamazoo,MI,49009,D24,Crossroads,22R08,Michigan Region,C,22172,American Red Cross of Southwest Michigan,5460 Venture Ct,Kalamazoo,MI,49009
105,Address_Points,M,78,A,-85.639898,42.982631,"1104 FULLER AVE NE, GRAND RAPIDS, MI, 49503",-85.63931,42.98285,1050 Fuller Avenue NE,Grand Rapids,MI,49503,D24,Crossroads,22R08,Michigan Region,C,22178,American Red Cross of West Michigan,1050 Fuller Avenue NE,Grand Rapids,MI,49503
106,Address_Points,M,100,A,-87.418892,46.547139,"104 COLES DR, MARQUETTE, MI, 49855",-87.41847,46.54722,104 Coles Dr.,Marquette,MI,49855,D24,Crossroads,22R08,Michigan Region,C,22216,American Red Cross of Northern Michigan,104 Coles Dr.,Marquette,MI,49855
107,Address_Points,M,100,A,-84.523974,42.743214,"1800 E GRAND RIVER AVE, LANSING, MI, 48912",-84.52396,42.74243,1800 E. Grand River Ave,Lansing,MI,48912,D24,Crossroads,22R08,Michigan Region,C,22234,American Red Cross of Mid Michigan,1800 E. Grand River Ave,Lansing,MI,48912
108,Address_Points,M,84,A,-83.056524,42.34798,"100 MACK AVE, DETROIT, MI, 48201",-83.05599,42.34704,100 Mack Avenue,Detroit,MI,48232,D24,Crossroads,22R08,Michigan Region,RH,22322,American Red Cross of Southeast Michigan,100 Mack Avenue,Detroit,MI,48232
109,Address_Points,M,100,A,-93.987621,44.149061,"105 HOMESTEAD DR, MANKATO, MN, 56001",-93.98762,44.14864,105 Homestead Dr.,Mankato,MN,56001,D23,North Central,23R12,Minnesota Region,C,23028,American Red Cross serving Southwest Minnesota,105 Homestead Dr.,Mankato,MN,56001
110,Street_Address,T,78,A,-94.167384,45.557214,"1301 W SAINT GERMAIN ST, ST CLOUD, MN, 56301", , ,1301 Saint Germain St. W,St. Cloud,MN,56301,D23,North Central,23R12,Minnesota Region,C,23050,American Red Cross serving Central Minnesota,1301 Saint Germain St. W,St. Cloud,MN,56301
111,Address_Points,M,100,A,-93.248612,44.977543,"1201 W RIVER PKWY, MINNEAPOLIS, MN, 55454",-93.24863,44.97716,1201 West River Parkway,Minneapolis,MN,55454,D23,North Central,23R12,Minnesota Region,RH,23193,American Red Cross serving Twin Cities Area,1201 West River Parkway,Minneapolis,MN,55454
112,Street_Address,M,90,A,-92.171558,46.807535,"2524 MAPLE GROVE RD, DULUTH, MN, 55811", , ,2524 West Maple Grove Rd.,Duluth,MN,55811,D23,North Central,23R12,Minnesota Region,C,23222,American Red Cross serving Northern Minnesota,2524 West Maple Grove Rd.,Duluth,MN,55811
113,Address_Points,M,100,A,-92.457982,44.003488,"310 14TH ST SE, ROCHESTER, MN, 55904",-92.45798,44.00325,310 14th Street SE,Rochester,MN,55904,D23,North Central,23R12,Minnesota Region,C,23294,American Red Cross serving Southeast Minnesota,310 14th Street SE,Rochester,MN,55904
114,Address_Points,M,100,A,-90.125294,32.328138,"9 RIVER BEND PL, FLOWOOD, MS, 39232",-90.12572,32.32804,9 River Bend Place,Flowood,MS,39232,D25,SEC,24R08,Mississippi Region,RH,24045,American Red Cross of Southwest Mississippi,9 River Bend Place,Flowood,MS,39232
115,Street_Address,M,84,A,-88.774729,34.250703,"4127 WESTSIDE DR, TUPELO, MS, 38801", , ,4127 Westside Drive,Tupelo,MS,38802,D25,SEC,24R08,Mississippi Region,C,24180,American Red Cross of North Mississippi,4127 Westside Drive,Tupelo,MS,38802
116,Address_Points,M,100,A,-89.000737,30.398562,"2782 FERNWOOD RD, BILOXI, MS, 39531",-89.00085,30.39869,2782 Fernwood Road,Biloxi,MS,39531,D25,SEC,24R08,Mississippi Region,C,24277,American Red Cross of Southeast Mississippi,2782 Fernwood Road,Biloxi,MS,39531
117,Address_Points,M,100,A,-94.845457,39.769201,"401 N 12TH ST, ST JOSEPH, MO, 64501",-94.84507,39.76933,401 N 12th Street,St. Joseph,MO,64501,D23,North Central,25R12,Western Missouri Region,C,25040,American Red Cross of Northwest Missouri,401 N 12th Street,St. Joseph,MO,64501
118,Address_Points,M,78,A,-89.556203,37.305238,"2436 MYRA DR, CAPE GIRARDEAU, MO, 63703",-89.55601,37.30549,2430 Myra Drive,Cape Girardeau,MO,63703,D23,North Central,25R16,Eastern Missouri Region,C,25060,American Red Cross of Southeast Missouri,2430 Myra Drive,Cape Girardeau,MO,63703
119,Address_Points,M,100,A,-92.16858,38.572383,"431 E MCCARTY ST, JEFFERSON CITY, MO, 65101",-92.16851,38.57248,431 E. McCarty St.,Jefferson City,MO,65101,D23,North Central,25R16,Eastern Missouri Region,C,25062,American Red Cross of Central and Northern Missouri,431 E. McCarty St.,Jefferson City,MO,65101
120,Address_Points,M,100,A,-94.58835,39.063871,"211 W ARMOUR BLVD, KANSAS CITY, MO, 64111",-94.58857,39.06331,211 West Armour Blvd.,Kansas City,MO,64111,D23,North Central,25R12,Western Missouri Region,RH,25150,American Red Cross of Greater Kansas City,211 West Armour Blvd.,Kansas City,MO,64111
121,Address_Points,T,78,A,-93.348167,37.228238,"1615 N WEST BYP, SPRINGFIELD, MO, 65803",-93.34845,37.22825,1545 N West Bypass,Springfield,MO,65803,D23,North Central,25R12,Western Missouri Region,C,25152,American Red Cross of Southern Missouri,1545 N West Bypass,Springfield,MO,65803
122,Zipcode,M,100,A,-90.37485,38.67466,63132, , ,10195 Corporate Square,Creve Coeur,MO,63132,D23,North Central,25R16,Eastern Missouri Region,RH,25380,American Red Cross of Greater St Louis,10195 Corporate Square,Creve Coeur,MO,63132
123,Address_Points,M,84,A,-111.259146,47.490879,"1300 28TH ST S, GREAT FALLS, MT, 59405",-111.25968,47.49088,1300 28th St. South 3rd Fl.,Great Falls,MT,59403,D23,North Central,12R04,Idaho and Montana Region,C,26036,American Red Cross of Greater Montana,1300 28th St. South 3rd Fl.,Great Falls,MT,59403
124,Address_Points,M,100,A,-98.336527,40.927267,"404 E 3RD ST, GRAND ISLAND, NE, 68801",-98.33662,40.92751,404 East Third St.,Grand Island,NE,68801,D23,North Central,27R12,Kansas Nebraska SW Iowa Region,C,27172,American Red Cross of Central and Western Nebraska,404 East Third St.,Grand Island,NE,68801
125,Address_Points,M,100,A,-96.038858,41.231921,"2912 S 80TH AVE, OMAHA, NE, 68124",-96.03939,41.23223,2912 S. 80th Ave.,Omaha,NE,68124,D23,North Central,27R12,Kansas Nebraska SW Iowa Region,RH,27186,American Red Cross of Omaha Council Bluffs Metro,2912 S. 80th Ave.,Omaha,NE,68124
126,Address_Points,M,84,A,-96.722477,40.81987,"220 OAKCREEK DR, LINCOLN, NE, 68528",-96.72305,40.82014,220 Oakcreek Drive,Lincoln,NE,68501,D23,North Central,27R12,Kansas Nebraska SW Iowa Region,C,27234,American Red Cross of Capital Area and Eastern Nebraska,220 Oakcreek Drive,Lincoln,NE,68501
127,Address_Points,M,100,A,-115.128946,36.114563,"1771 E FLAMINGO RD, LAS VEGAS, NV, 89119",-115.12914,36.11363,"1771 East Flamingo Rd., Suite 206B",Las Vegas,NV,89119,D22,SWARM,28R04,Nevada Region,RH,28016,American Red Cross of Southern NV,"1771 East Flamingo Rd., Suite 206B",Las Vegas,NV,89119
128,Address_Points,M,100,A,-119.750167,39.510987,"1190 CORPORATE BLVD, RENO, NV, 89502",-119.74971,39.51077,1190 Corporate Blvd.,Reno,NV,89502,D22,SWARM,28R04,Nevada Region,C,28066,American Red Cross of Northern NV,1190 Corporate Blvd.,Reno,NV,89502
129,Address_Points,M,100,A,-71.533394,43.19086,"2 MAITLAND ST, CONCORD, NH, 03301",-71.53294,43.19124,2 Maitland Street,Concord,NH,03301,D27,Northeast,29R04,New Hampshire and Vermont Region,RH,29020,American Red Cross of New Hampshire,2 Maitland Street,Concord,NH,03301
130,Address_Points,T,87,A,-75.06317,39.931663,"5425 RT 70 W, MERCHANTVILLE, NJ, 08109",-75.06306,39.93183,5425 Route 70 West,Pennsauken,NJ,08109,D27,Northeast,30R12,South Jersey Region,C,30040,American Red Cross of Camden and Burlington NJ,5425 Route 70 West,Pennsauken,NJ,08109
131,Address_Points,M,100,A,-74.50997,39.402583,"850 N FRANKLIN BLVD, PLEASANTVILLE, NJ, 08232",-74.50914,39.40227,850 N. Franklin Blvd.,Pleasantville,NJ,08232,D27,Northeast,30R12,South Jersey Region,C,30076,American Red Cross of Southern Shore NJ,850 N. Franklin Blvd.,Pleasantville,NJ,08232
132,Address_Points,T,87,A,-74.090193,40.257551,"1540 W PARK AVE, ASBURY PARK, NJ, 07712",-74.09066,40.25628,1540 West Park Avenue,Ocean,NJ,07712,D27,Northeast,30R12,South Jersey Region,RH,30116,American Red Cross of Jersey Coast,1540 West Park Avenue,Ocean,NJ,07712
133,Address_Points,M,100,A,-74.29308,40.878209,"209 FAIRFIELD RD, FAIRFIELD, NJ, 07004",-74.29375,40.87853,209 Fairfield Road,Fairfield,NJ,07004,D27,Northeast,30R08,North Jersey Region,C,30140,American Red Cross of Northern New Jersey,209 Fairfield Road,Fairfield,NJ,07004
134,Address_Points,M,100,A,-74.638222,40.322266,"707 ALEXANDER RD, PRINCETON, NJ, 08540",-74.63769,40.32296,"707 Alexander Rd., Suite101",Princeton,NJ,08540,D27,Northeast,30R08,North Jersey Region,RH,30176,American Red Cross of Central New Jersey,"707 Alexander Rd., Suite101",Princeton,NJ,08540
135,Address_Points,M,100,A,-74.376259,40.712437,"695 SPRINGFIELD AVE, SUMMIT, NJ, 07901",-74.37639,40.71292,695 Springfield Ave.,Summit,NJ,07901,D27,Northeast,30R08,North Jersey Region,C,30216,American Red Cross of New Jersey Crossroads,695 Springfield Ave.,Summit,NJ,07901
136,Street_Address,M,91,A,-106.586787,35.163249,"7445 PAN AMERICAN WEST FWY NE, ALBUQUERQUE, NM, 87109", , ,"7445 Pan American Freeway, NE",Albuquerque,NM,87109,D22,SWARM,03R04,Arizona New Mexico El Paso Region,C,31061,American Red Cross of New Mexico,"7445 Pan American Freeway, NE",Albuquerque,NM,87109
137,Address_Points,M,100,A,-73.778281,42.689389,"33 EVERETT RD, ALBANY, NY, 12205",-73.77781,42.68927,33 Everett Road,Albany,NY,12205,D27,Northeast,32R04,Eastern New York Region,RH,32004,American Red Cross of Northeastern New York,33 Everett Road,Albany,NY,12205
138,Address_Points,M,100,A,-76.053053,42.096439,"620 E MAIN ST, ENDICOTT, NY, 13760",-76.05283,42.09604,620 East Main St.T,Endicott,NY,13760,D27,Northeast,32R20,Western and Central New York Region,C,32036,American Red Cross of Southern Tier New York,620 East Main St.T,Endicott,NY,13760
139,Address_Points,M,100,A,-77.059521,42.144328,"123 W MARKET ST, CORNING, NY, 14830",-77.05947,42.14447,123 W. Market St.,Corning,NY,14830,D27,Northeast,32R20,Western and Central New York Region,C,32088,American Red Cross of Finger Lakes New York,123 W. Market St.,Corning,NY,14830
140,Address_Points,M,100,A,-73.920428,41.691996,"103 HOOKER AVE, POUGHKEEPSIE, NY, 12601",-73.92077,41.69185,103 Hooker Ave.,Poughkeepsie,NY,12601,D27,Northeast,32R04,Eastern New York Region,C,32102,American Red Cross of Mid Hudson Valley New York,103 Hooker Ave.,Poughkeepsie,NY,12601
141,Address_Points,T,78,A,-78.871897,42.906108,"800 DELAWARE AVE, BUFFALO, NY, 14209",-78.87278,42.90616,786 Delaware Ave.,Buffalo,NY,14209,D27,Northeast,32R20,Western and Central New York Region,C,32140,American Red Cross of Western New York,786 Delaware Ave.,Buffalo,NY,14209
142,Address_Points,M,100,A,-75.894377,43.972623,"203 N HAMILTON ST, WATERTOWN, NY, 13601",-75.89491,43.97305,203 N. Hamilton St.,Watertown,NY,13601,D27,Northeast,32R04,Eastern New York Region,C,32176,American Red Cross of North Country New York,203 N. Hamilton St.,Watertown,NY,13601
143,Address_Points,M,100,A,-73.639201,40.745918,"195 WILLIS AVE, MINEOLA, NY, 11501",-73.63949,40.74568,195 Willis Ave.,Mineola,NY,11501,D27,Northeast,32R16,Greater New York Region,C,32236,American Red Cross of Long Island New York,195 Willis Ave.,Mineola,NY,11501
144,Address_Points,M,100,A,-77.589482,43.159591,"50 PRINCE ST, ROCHESTER, NY, 14607",-77.5888,43.15941,50 Prince Street,Rochester,NY,14607,D27,Northeast,32R20,Western and Central New York Region,C,32336,American Red Cross of Greater Rochester New York,50 Prince Street,Rochester,NY,14607
145,Address_Points,M,86,A,-76.156269,43.052473,"344 W GENESEE ST, SYRACUSE, NY, 13202",-76.15601,43.05293,344 Genessee St.,Syracuse,NY,13202,D27,Northeast,32R20,Western and Central New York Region,RH,32400,American Red Cross of Central New York,344 Genessee St.,Syracuse,NY,13202
146,Address_Points,M,100,A,-75.245112,43.09466,"1415 GENESEE ST, UTICA, NY, 13501",-75.24473,43.09416,1415  Genesee Street,Utica,NY,13501,D27,Northeast,32R04,Eastern New York Region,C,32420,American Red Cross of Mohawk Valley New York,1415  Genesee Street,Utica,NY,13501
147,Address_Points,M,100,A,-73.605701,41.027559,"99 INDIAN FIELD RD, GREENWICH, CT, 06830",-73.60499,41.02771,99 Indian Field Road,Greenwich,CT,06830,D27,Northeast,32R16,Greater New York Region,C,32442,American Red Cross of Metro New York North,99 Indian Field Road,White Plains,NY,06830
148,Address_Points,M,100,A,-73.993687,40.76466,"514 W 49TH ST, NEW YORK, NY, 10019",-73.9938,40.76441,514 West 49th Street,New York,NY,10019,D27,Northeast,32R16,Greater New York Region,RH,32500,American Red Cross of Greater New York,514 West 49th Street,New York,NY,10019
149,Address_Points,M,100,A,-82.55347,35.620349,"100 EDGEWOOD RD, ASHEVILLE, NC, 28804",-82.55347,35.62027,100 Edgewood Rd.,Asheville,NC,28804,D26,Mid-Atlantic,33R08,Western North Carolina Region,C,33029,The American Red Cross serving the Asheville-Mountain Area of North Carolina,100 Edgewood Rd.,Asheville,NC,28804
150,Address_Points,M,100,A,-80.577084,35.406769,"167 UNION ST S, CONCORD, NC, 28025",-80.57684,35.40697,167 Union St. S,Concord,NC,28025,D26,Mid-Atlantic,33R08,Western North Carolina Region,C,33068,The American Red Cross serving the Southern Piedmont of North Carolina,167 Union St. S,Concord,NC,28025
151,Street_Address,T,89,A,-81.312007,35.710842,"1375 LENOIR RHYNE BLVD SE, HICKORY, NC, 28602", , ,1375 Lenoir Rhyne Blvd.119,Hickory,NC,28602,D26,Mid-Atlantic,33R08,Western North Carolina Region,C,33088,The American Red Cross serving the Blue Ridge Piedmont of North Carolina,1375 Lenoir Rhyne Blvd.119,Hickory,NC,28602
152,Address_Points,M,87,A,-78.937872,35.079722,"807 CAROL ST, FAYETTEVILLE, NC, 28303",-78.93812,35.07983,807 Carol St.,Fayettville,NC,28303,D26,Mid-Atlantic,33R16,Eastern North Carolina Region,C,33132,The American Red Cross of the Sandhills of North Carolina,807 Carol St.,Fayettville,NC,28303
153,Address_Points,M,100,A,-78.96611,35.952622,"4737 UNIVERSITY DR, DURHAM, NC, 27707",-78.96403,35.95279,4737 University Dr.,Durham,NC,27707,D26,Mid-Atlantic,33R16,Eastern North Carolina Region,C,33152,The American Red Cross of Central North Carolina,4737 University Dr.,Durham,NC,27707
154,Address_Points,M,100,A,-80.851611,35.19703,"2425 PARK RD, CHARLOTTE, NC, 28203",-80.85068,35.1973,2425 Park Road,Charlotte,NC,28203,D26,Mid-Atlantic,33R08,Western North Carolina Region,RH,33181,The American Red Cross serving the Charlotte Metro of North Carolina,2425 Park Road,Charlotte,NC,28203
155,Address_Points,M,84,A,-79.780069,36.092952,"1501 YANCEYVILLE ST, GREENSBORO, NC, 27405",-79.78068,36.09334,1501 Yanceyville St.,Greensboro,NC,27415,D26,Mid-Atlantic,33R08,Western North Carolina Region,C,33188,The American Red Cross serving the Piedmont Triad of North Carolina,1501 Yanceyville St.,Greensboro,NC,27415
156,Address_Points,M,100,A,-77.799977,35.939663,"326 S FRANKLIN ST, ROCKY MOUNT, NC, 27804",-77.80022,35.93975,326 South Franklin Street,Rocky Mount,NC,27804,D26,Mid-Atlantic,33R16,Eastern North Carolina Region,C,33380,The American Red Cross of Northeastern North Carolina,326 South Franklin Street,Rocky Mount,NC,27804
157,Address_Points,M,100,A,-78.592586,35.783711,"100 N PEARTREE LN, RALEIGH, NC, 27610",-78.59212,35.78428,100 N. Peartree Lane,Raleigh,NC,27610,D26,Mid-Atlantic,33R16,Eastern North Carolina Region,RH,33430,The American Red Cross of the Triangle Area of North Carolina,100 N. Peartree Lane,Raleigh,NC,27610
158,Address_Points,M,100,A,-77.927286,34.223226,"1102 S 16TH ST, WILMINGTON, NC, 28401",-77.92768,34.22316,1102 South 16TH Street,Wilmington,NC,28401,D26,Mid-Atlantic,33R16,Eastern North Carolina Region,C,33468,The American Red Cross of the Cape Fear Area Of North Carolina,1102 South 16TH Street,Wilmington,NC,28401
159,Address_Points,M,100,A,-96.796141,46.911068,"2602 12TH ST N, FARGO, ND, 58102",-96.79661,46.91089,2602 12th St N,Fargo,ND,58102,D23,North Central,34R08,Dakotas Region,RH,34118,ARC serving Eastern North Dakota and Northwest Minnesota,2602 12th St N,Fargo,ND,58102
160,Address_Points,M,100,A,-101.324614,48.240041,"2021 4TH AVE NW, MINOT, ND, 58703",-101.32461,48.23982,2021 4th Ave. NW,Minot,ND,58703,D23,North Central,34R08,Dakotas Region,C,34204,ARC serving Western North Dakota,2021 4th Ave. NW,Minot,ND,58703
161,Address_Points,M,100,A,-84.119118,40.732887,"610 S COLLETT ST, LIMA, OH, 45805",-84.1193,40.73289,610 S. Collett St.,Lima,OH,45805,D24,Crossroads,35R20,Ohio Buckeye Region,C,35012,American Red Cross of West Central Ohio,610 S. Collett St.,Lima,OH,45805
162,Address_Points,M,100,A,-81.380502,40.79244,"408 9TH ST SW, CANTON, OH, 44707",-81.38052,40.79235,"408 9th St., SW Unit 1800",Canton,OH,44707,D24,Crossroads,35R16,Northeast Ohio Region,C,35060,American Red Cross of Stark and Muskingum Lakes,"408 9th St., SW Unit 1800",Canton,OH,44707
163,Address_Points,M,100,A,-84.461067,39.145719,"2111 DANA AVE, CINCINNATI, OH, 45207",-84.46109,39.14537,2111 Dana Avenue,Cincinnati,OH,45207,D24,Crossroads,35R12,Greater Cincinnati-Dayton Region,RH,35072,American Red Cross of Cincinnati and Ohio River,2111 Dana Avenue,Cincinnati,OH,45207
164,Address_Points,M,100,A,-84.239384,40.018718,"1314 BARNHART RD, TROY, OH, 45373",-84.23955,40.01871,1314 Barnhart Rd.,Troy,OH,45373,D24,Crossroads,35R12,Greater Cincinnati-Dayton Region,C,35076,American Red Cross of Northern Miami Valley OH,1314 Barnhart Rd.,Troy,OH,45373
165,Address_Points,M,100,A,-82.974002,39.965343,"995 E BROAD ST, COLUMBUS, OH, 43205",-82.97395,39.96504,995 E Broad St.,Columbus,OH,43205,D24,Crossroads,35R20,Ohio Buckeye Region,RH,35086,American Red Cross of Central Ohio,995 E Broad St.,Columbus,OH,43205
166,Street_Address,M,84,A,-84.199599,39.761203,"370 W 1ST ST, DAYTON, OH, 45402", , ,370 West 1st St.,Dayton,OH,45401,D24,Crossroads,35R12,Greater Cincinnati-Dayton Region,C,35106,American Red Cross of Dayton Area OH,370 West 1st St.,Dayton,OH,45401
167,Address_Points,M,100,A,-81.66074,41.503292,"3747 EUCLID AVE, CLEVELAND, OH, 44115",-81.66078,41.50369,3747 Euclid Avenue,Cleveland,OH,44115,D24,Crossroads,35R16,Northeast Ohio Region,RH,35168,American Red Cross of Greater Cleveland,3747 Euclid Avenue,Cleveland,OH,44115
168,Address_Points,M,100,A,-83.604939,41.617901,"1111 RESEARCH DR, TOLEDO, OH, 43614",-83.60515,41.61682,1111 Research Dr.,Toledo,OH,43614,D24,Crossroads,35R20,Ohio Buckeye Region,C,35170,American Red Cross of Northwest Ohio,1111 Research Dr.,Toledo,OH,43614
169,Address_Points,M,100,A,-82.441999,40.044906,"143 S 30TH ST, NEWARK, OH, 43055",-82.44226,40.04492,143 S 30th St.,Newark,OH,43055,D24,Crossroads,35R20,Ohio Buckeye Region,C,35240,American Red Cross of East and South Central Ohio,143 S 30th St.,Newark,OH,43055
170,Address_Points,M,100,A,-81.942462,40.796541,"244 W SOUTH ST, WOOSTER, OH, 44691",-81.94244,40.79644,244 West South Street,Wooster,OH,44691,D24,Crossroads,35R16,Northeast Ohio Region,C,35248,American Red Cross of Lake Erie and Heartland,244 West South Street,Wooster,OH,44691
171,Address_Points,M,100,A,-83.65147,41.044754,"125 FAIR ST, FINDLAY, OH, 45840",-83.65147,41.04467,125 Fair St.,Findlay,OH,45840,D24,Crossroads,35R20,Ohio Buckeye Region,C,35260,American Red Cross of North Central Ohio,125 Fair St.,Findlay,OH,45840
172,Address_Points,M,100,A,-81.846099,39.97385,"7650 EAST PIKE, NORWICH, OH, 43767",-81.84603,39.97322,7650 East Pike,Norwich,OH,43767,D24,Crossroads,35R20,Ohio Buckeye Region,C,35312,American Red Cross of Southeast Ohio,7650 East Pike,Norwich,OH,43767
173,Address_Points,M,100,A,-81.533252,41.09222,"501 W MARKET ST, AKRON, OH, 44303",-81.53313,41.09298,501 W. Market St.,Akron,OH,44303,D24,Crossroads,35R16,Northeast Ohio Region,C,35384,"American Red Cross of Summit, Portage and Medina",501 W. Market St.,Akron,OH,44303
174,Address_Points,T,78,A,-80.665388,41.145991,"3546 BELMONT AVE, YOUNGSTOWN, OH, 44505",-80.66599,41.14607,3530 Belmont Ave. Ste. 7,Youngstown,OH,44505,D24,Crossroads,35R16,Northeast Ohio Region,C,35392,American Red Cross of Lake to River,3530 Belmont Ave. Ste. 7,Youngstown,OH,44505
175,Address_Points,M,89,A,-97.05939,36.113457,"114 W 8TH AVE, STILLWATER, OK, 74074",-97.05939,36.11353,114 W. 8th Street,Stillwater,OK,74074,D22,SWARM,36R04,Oklahoma and Arkansas Region,C,36104,American Red Cross serving Northwest OK,114 W. 8th Street,Stillwater,OK,74074
176,Address_Points,M,100,A,-97.50138,35.473886,"601 NE 6TH ST, OKLAHOMA CITY, OK, 73104",-97.50169,35.47424,601 NE 6th St.,Oklahoma City,OK,73104,D22,SWARM,36R04,Oklahoma and Arkansas Region,RH,36232,American Red Cross serving Central and Southwest OK,601 NE 6th St.,Oklahoma City,OK,73104
177,Zipcode,M,100,A,-95.76295,34.94568,74501, , ,502 E Chicksaw,McAlester,OK,74501,D22,SWARM,36R04,Oklahoma and Arkansas Region,C,36256,American Red Cross serving South Central and Southeast OK,502 E Chicksaw,McAlester,OK,74501
178,Address_Points,T,78,A,-95.863004,36.148072,"10159 E 11TH ST, TULSA, OK, 74128",-95.86302,36.14871,10151 E 11th St.,Tulsa,OK,74128,D22,SWARM,36R04,Oklahoma and Arkansas Region,C,36308,American Red Cross serving Northeast OK,10151 E 11th St.,Tulsa,OK,74128
179,Address_Points,M,90,A,-121.26601,44.053022,"2570 NE TWIN KNOLLS DR, BEND, OR, 97701",-121.26572,44.05346,2570 Twin Knolls Dr. 140,Bend,OR,97701,D21,Pacific,37R04,Cascades Region,C,37036,American Red Cross of Central and Eastern Oregon,2570 Twin Knolls Dr. 140,Bend,OR,97701
